borough,year,avg_rent
Bronx,2015,1759.5953358395302
Bronx,2016,1520.1943547462297
Bronx,2017,1543.5986201282174
Bronx,2018,1639.4295174854133
Bronx,2019,1705.5892175906101
Bronx,2020,1811.4432222996509
Bronx,2021,1857.7765544953959
Bronx,2022,2054.2668898443403
Bronx,2023,2285.458860499863
Bronx,2024,2496.895868799431
Brooklyn,2015,2492.9280808317862
Brooklyn,2016,2520.35650330802
Brooklyn,2017,2545.827912809997
Brooklyn,2018,2547.290966777235
Brooklyn,2019,2630.5035688536605
Brooklyn,2020,2555.051151147037
Brooklyn,2021,2549.8897192272225
Brooklyn,2022,2868.199001050787
Brooklyn,2023,3015.1835003032265
Brooklyn,2024,3125.656682191174
Manhattan,2015,3006.2912528323363
Manhattan,2016,3014.5704799364207
Manhattan,2017,3109.103721219954
Manhattan,2018,3159.66833127526
Manhattan,2019,3285.3340425837773
Manhattan,2020,3091.326630709727
Manhattan,2021,3124.3364966690688
Manhattan,2022,3753.079672189231
Manhattan,2023,3908.2153818471666
Manhattan,2024,4052.805245273318
Queens,2015,2214.706681629278
Queens,2016,2271.9551573526783
Queens,2017,2263.303149511216
Queens,2018,2291.9181660191116
Queens,2019,2387.816298599932
Queens,2020,2315.632023857521
Queens,2021,2210.787120954384
Queens,2022,2406.037832747106
Queens,2023,2561.615486379827
Queens,2024,2693.5840000075655
Staten Island,2015,NA
Staten Island,2016,NA
Staten Island,2017,NA
Staten Island,2018,NA
Staten Island,2019,NA
Staten Island,2020,1977.608186319125
Staten Island,2021,2045.429680663639
Staten Island,2022,2147.4355504385544
Staten Island,2023,2332.934318823246
Staten Island,2024,2536.4424509095334
